A_3_1, Float
A_3_0, Float
DP1.EXTVER, Float
DP2.NAXES, Float
RAW_LTV2, Float
RAW_LTV1, Float
GCOUNT, Integer
DP2.EXTVER, Float
DEC_APER, Float
DP2.AXIS.1, Float
SNRMEAN, Float
PHOTMODE, String
WCSAXESO, Integer
WCSNAMEO, String
LONPOLEO, Float
WCSAXES, Integer
CTYPE2O, String
CD2_1, Float
BUNIT, String
CD2_2, Float
CRVAL2, Float
SOFTERRS, Integer
CUNIT1O, String
B_0_4, Float
A_1_1, Float
A_1_3, Float
A_1_2, Float
CRPIX2O, Float
EXTVER, Integer
LTV1, Float
ERRCNT, Integer
CTYPE2, String
CTYPE1, String
RADESYS, String
PHOTFLAM, Float
CENTERA1, Integer
CENTERA2, Integer
NAXIS, Integer
CRPIX1O, Float
A_2_2, Float
IDCSCALE, Float
SIZAXIS2, Integer
SIZAXIS1, Integer
CD1_1O, Float
IDCYREF, Float
IDCTHETA, Float
PHOTPLAM, Float
BINAXIS1, Integer
BINAXIS2, Integer
NAXIS1, Integer
CPDIS2, String
CPDIS1, String
NAXIS2, Integer
EXTNAME, String
SDQFLAGS, Integer
B_1_2, Float
MEANDARK, Float
B_1_3, Float
PHOTZPT, Float
RA_APER, Float
CD1_2O, Float
A_0_4, Float
STDCFFF, Bool
OCY11, Float
OCY10, Float
CRVAL2O, Float
A_0_3, Float
RADESYSO, String
A_2_0, Float
PCOUNT, Integer
GOODMEAN, Float
BITPIX, Integer
DP2.AXIS.2, Float
FILLCNT, Integer
A_4_0, Float
STDCFFP, String
CRVAL1O, Float
B_3_0, Float
B_1_1, Float
CTYPE1O, String
CD1_2, Float
CD1_1, Float
MDECODT2, Float
CDELT1O, Float
MDECODT1, Float
IDCXREF, Float
LTM1_1, Float
PHOTBW, Float
A_ORDER, Integer
CD2_2O, Float
ORIGIN, String
GOODMAX, Float
IDCTAB, String
B_ORDER, Integer
GOODMIN, Float
IDCV3REF, Float
B_4_0, Float
MDRIZSKY, Float
LTV2, Float
CRPIX1, Float
CRPIX2, Float
CRVAL1, Float
ORIENTAT, Float
EXPNAME, String
CD2_1O, Float
B_3_1, Float
VAFACTOR, Float
WCSNAME, String
GLOBRATE, Float
NGOODPIX, Integer
CDELT2O, Float
NPOLEXT, String
A_0_2, Float
DATE, String
CPERR1, Float
CPERR2, Float
CUNIT2O, String
PODPSFF, Bool
LTM2_2, Float
XTENSION, String
B_2_1, Float
B_2_0, Float
B_2_2, Float
A_2_1, Float
GLOBLIM, String
B_0_3, Float
B_0_2, Float
DP1.AXIS.2, Float
DP1.AXIS.1, Float
LATPOLEO, Float
IDCV2REF, Float
INHERIT, Bool
SNRMIN, Float
OCX10, Float
OCX11, Float
DP1.NAXES, Float
SNRMAX, Float
PA_APER, Float
EQUINOXO, Float
DATAMIN, Float
DATAMAX, Float
