TDD_CYB, String
TDD_CYA, String
NAXIS, Integer
TDD_CXB, Float
RAW_LTV2, Float
RAW_LTV1, Float
GCOUNT, Integer
IDCTAB, String
CD1_2, Float
CD1_1, Float
LTM2_2, Float
XTENSION, String
DEC_APER, Float
SNRMEAN, Float
PHOTMODE, String
LTM1_1, Float
PHOTBW, Float
PHOTPLAM, Float
TDD_CTA, String
GOODMAX, Float
BITPIX, Integer
NAXIS1, Integer
GOODMIN, Float
NAXIS2, Integer
TDD_CXA, String
NCOMBINE, Integer
INHERIT, Bool
EXTNAME, String
TDD_CTB, Float
CD2_1, Float
BUNIT, String
CD2_2, Float
CCDCHIP, String
MDRIZSKY, Float
SNRMIN, Float
PHOTZPT, Float
RA_APER, Float
CRVAL2, Float
CRPIX1, Float
CRPIX2, Float
CRVAL1, Float
EXTVER, Integer
ORIENTAT, Float
RADESYSO, String
PCOUNT, Integer
GOODMEAN, Float
CTYPE2, String
CTYPE1, String
RADESYS, String
SNRMAX, Float
PHOTFLAM, Float
VAFACTOR, Float
WCSNAME, String
EQUINOXO, String
D2IM2.AXIS.1, Float
CDELT1O, Float
SIZAXIS1, Integer
CRPIX1O, Float
CBLKSIZ, Integer
A_3_0, Float
CPDIS1, String
CDELT2O, Float
A_4_0, Float
B_1_3, Float
B_2_2, Float
BINAXIS1, Integer
CTYPE1O, String
DP2.EXTVER, Float
CUNIT1O, String
PODPSFF, Bool
B_1_1, Float
CENTERA1, Integer
DP1.AXIS.1, Float
D2IM1.AXIS.1, Float
D2IMERR1, Float
B_3_0, Float
D2IMERR2, Float
STDCFFP, String
DP1.AXIS.2, Float
SDQFLAGS, Integer
NGOODPIX, Integer
CENTERA2, Integer
B_2_0, Float
IDCV3REF, Float
A_ORDER, Integer
D2IM2.NAXES, Float
B_3_2, Float
CUNIT2O, String
D2IM2.AXIS.2, Float
WCSNAMEO, String
MEANFLSH, Float
A_1_2, Float
CD2_2O, Float
WCSAXESO, Integer
D2IM1.NAXES, Float
COMPTYP, String
IDCSCALE, Float
OCY10, Float
IDCYREF, Float
CD1_1O, Float
A_1_3, Float
IDCV2REF, Float
B_5_0, Float
ORIGIN, String
DP1.NAXES, Float
D2IM1.AXIS.2, Float
A_3_2, Float
OCX10, Float
CPERR2, Float
LTV1, Float
B_1_2, Float
IDCXREF, Float
STDCFFF, Bool
A_0_5, Float
CPERR1, Float
A_5_0, Float
OCY11, Float
B_2_1, Float
D2IMDIS2, String
FILLCNT, Integer
A_3_1, Float
LTV2, Float
LONPOLEO, Float
D2IMDIS1, String
LOSTPIX, Integer
B_0_5, Float
D2IM2.EXTVER, Float
B_2_3, Float
DP2.AXIS.2, Float
IDCTHETA, Float
DP1.EXTVER, Float
CRPIX2O, Float
A_2_0, Float
A_2_3, Float
MEANBLEV, Float
CPDIS2, String
SOFTERRS, Integer
ERRCNT, Integer
D2IM1.EXTVER, Float
A_1_1, Float
A_2_2, Float
DATE, String
D2IMEXT, String
B_4_1, Float
CD2_1O, Float
B_0_4, Float
CD1_2O, Float
B_ORDER, Integer
CRVAL2O, Float
PA_APER, Float
MEANDARK, Float
B_3_1, Float
A_2_1, Float
B_0_2, Float
B_0_3, Float
A_0_4, Float
A_1_4, Float
EXPNAME, String
DP2.AXIS.1, Float
WFCMPRSD, Bool
DP2.NAXES, Float
CTYPE2O, String
CRVAL1O, Float
B_4_0, Float
WCSAXES, Integer
NPOLEXT, String
A_4_1, Float
BINAXIS2, Integer
A_0_3, Float
SIZAXIS2, Integer
B_1_4, Float
A_0_2, Float
LATPOLEO, Float
OCX11, Float
