A_3_2, Float
A_3_1, Float
A_3_0, Float
DP1.EXTVER, Float
DP2.NAXES, Float
RAW_LTV2, Float
RAW_LTV1, Float
GCOUNT, Integer
DP2.EXTVER, Float
DEC_APER, Float
DP2.AXIS.1, Float
SNRMEAN, Float
PHOTMODE, String
WCSAXESO, Integer
WCSNAMEO, String
TDDBETA, String
LONPOLEO, Float
A_5_0, Float
WCSAXES, Integer
CTYPE2O, String
CD2_1, Float
BUNIT, String
CD2_2, Float
CRVAL2, Float
SOFTERRS, Integer
CUNIT1O, String
A_1_4, Float
A_1_1, Float
A_1_3, Float
A_1_2, Float
CRPIX2O, Float
EXTVER, Integer
LTV1, Float
ERRCNT, Integer
CPDIS2, String
D2IM1.NAXES, Float
WFCMPRSD, Bool
CTYPE2, String
CTYPE1, String
RADESYS, String
PHOTFLAM, Float
CENTERA1, Integer
CENTERA2, Integer
NAXIS, Integer
D2IMERR2, Float
D2IMERR1, Float
CRPIX1O, Float
A_2_2, Float
IDCSCALE, Float
D2IM2.AXIS.1, Float
D2IM2.AXIS.2, Float
SIZAXIS2, Integer
SIZAXIS1, Integer
CD1_1O, Float
IDCYREF, Float
IDCTHETA, Float
PHOTPLAM, Float
BINAXIS1, Integer
BINAXIS2, Integer
NAXIS1, Integer
A_4_1, Float
CPDIS1, String
NAXIS2, Integer
D2IM2.EXTVER, Float
NCOMBINE, Integer
EXTNAME, String
B_5_0, Float
MEANDARK, Float
B_1_3, Float
PHOTZPT, Float
RA_APER, Float
CD1_2O, Float
A_0_4, Float
D2IMDIS1, String
D2IMDIS2, String
STDCFFF, Bool
OCY11, Float
OCY10, Float
CRVAL2O, Float
A_0_3, Float
RADESYSO, String
A_2_3, Float
A_2_0, Float
PCOUNT, Integer
GOODMEAN, Float
BITPIX, Integer
DP2.AXIS.2, Float
FILLCNT, Integer
A_4_0, Float
STDCFFP, String
CRVAL1O, Float
INHERIT, Bool
TDD_CYB, String
TDD_CYA, String
B_3_0, Float
B_1_1, Float
B_3_2, Float
CTYPE1O, String
LOSTPIX, Integer
D2IM2.NAXES, Float
CD1_2, Float
B_1_4, Float
CD1_1, Float
B_1_2, Float
CDELT1O, Float
SDQFLAGS, Integer
IDCXREF, Float
LTM1_1, Float
PHOTBW, Float
A_ORDER, Integer
CD2_2O, Float
ORIGIN, String
GOODMAX, Float
IDCTAB, String
B_ORDER, Integer
GOODMIN, Float
TDD_CXA, String
IDCV3REF, Float
TDD_CXB, Float
B_4_1, Float
B_4_0, Float
D2IM1.AXIS.1, Float
D2IM1.AXIS.2, Float
CBLKSIZ, Integer
MDRIZSKY, Float
LTV2, Float
CRPIX1, Float
CRPIX2, Float
CRVAL1, Float
ORIENTAT, Float
EXPNAME, String
A_0_5, Float
MEANFLSH, Float
CD2_1O, Float
B_3_1, Float
VAFACTOR, Float
WCSNAME, String
NGOODPIX, Integer
CDELT2O, Float
CCDCHIP, Integer
NPOLEXT, String
A_0_2, Float
COMPTYP, String
DATE, String
CPERR1, Float
CPERR2, Float
CUNIT2O, String
TDD_CTA, String
PODPSFF, Bool
TDD_CTB, Float
LTM2_2, Float
XTENSION, String
B_2_1, Float
B_2_0, Float
B_2_3, Float
B_2_2, Float
A_2_1, Float
B_0_5, Float
B_0_4, Float
B_0_3, Float
B_0_2, Float
TDDALPHA, String
DP1.AXIS.2, Float
D2IMEXT, String
DP1.AXIS.1, Float
LATPOLEO, Float
IDCV2REF, Float
D2IM1.EXTVER, Float
SNRMIN, Float
OCX10, Float
OCX11, Float
DP1.NAXES, Float
MEANBLEV, Float
SNRMAX, Float
PA_APER, Float
