ACTGSSEP, Float
SHADOEXT, String
LOS_SUN, Float
NAXIS, Integer
V3_RMS, Float
V2_P2P, Float
GCOUNT, Integer
V3_P2P, Float
LOS_MOON, Float
V2_RMS, Float
CD1_2, Float
CD1_1, Float
XTENSION, String
ALTITUDE, Float
NRECENT, Integer
LOCKLOSS, Float
EXPNAME, String
COORDSYS, String
ASN_MTYP, String
APERTURE, String
ENDTIME, String
DATAMAX, Float
LOS_SCV, Float
OBSET_ID, String
BITPIX, Integer
APER_V2, Float
APER_V3, Float
NAXIS1, Integer
WCSAXES, Integer
NAXIS2, Integer
ROLL_AVG, Float
INHERIT, Bool
EXTNAME, String
LOS_LIMB, Float
PROCTIME, String
CD2_1, Float
DEC_AVG, Float
XPIXINC, Float
CD2_2, Float
GSSEPRMS, Float
DATAMIN, Float
RECENTR, Float
BETA_1, Float
RA_AVG, Float
BETA_2, Float
CRVAL2, Float
CRPIX1, Float
CRPIX2, Float
CRVAL1, Float
OBSERVTN, String
EXTVER, Integer
YPIXINC, Float
SHADOENT, String
PCOUNT, Integer
CTYPE2, String
CTYPE1, String
TLMFORM, String
GUIDEACT, String
GSACQ, String
STARTIME, String
NLOSSES, Integer
GS_GAP, String
TLM_PROB, String
N_TM_GAP, String
SGSTAR, String
GSFAIL, String
TM_GAP, String
NO_TLM, String
SLEWING, Bool
TDF_DOWN, Bool
